0000,54989500‬
0001,54989500‬
0002,54989500‬
0003,54989500‬
0004,54989500‬
0005,54989500‬
0100,54989500‬
0101,54989500‬
0102,54989500‬
0103,54989500‬
0104,54989500‬
0105,54989500‬
0200,54989500‬
0201,54989500‬
0202,54989500‬
0203,54989500‬
0204,54989500‬
0205,54989500‬
0300,54989500‬
0301,54989500‬
0302,54989500‬
0303,54989500‬
0304,54989500‬
0305,54989500‬
0400,54989500‬
0401,54989500‬
0402,54989500‬
0403,54989500‬
0404,54989500‬
0405,54989500‬
0500,54989500‬
0501,54989500‬
0502,54989500‬
0503,54989500‬
0504,54989500‬
0505,54989500‬
0600,54989500‬
0601,54989500‬
0602,54989500‬
0603,54989500‬
0604,54989500‬
0605,54989500‬
